Haplotype	Pan-ethnic	European	Admixed American	East Asian	African	South Asian	Validated in this study	In GeT-RM full set	CPIC clinical allele function
*1	33.35 	35.88 	45.97 	26.09 	25.87 	39.37 	x 	x 	Normal
*2	14.76 	15.9 	18.59 	7.74 	12.71 	20.86 	x 	x 	Normal
*3	0.54 	1.79 	0.58 	0 	0.23 	0.2 	x 	x 	No
*4	5.93 	11.83 	9.22 	0.2 	2.34 	8.28 	x 	x 	No
*5	3.49 	2.39 	2.02 	3.47 	5.82 	2.56 	x 	x 	No
*6	0.5 	2.09 	0.29 	0 	0.08 	0.1 	x 	x 	No
*7	0.18 	0 	0 	0 	0 	0.92 	x 	x 	No
*9	0.68 	2.39 	1.3 	0 	0.08 	0 	x 	x 	Decreased
*10	5.25 	1.39 	1.44 	14.98 	3.86 	3.78 	x 	x 	Decreased
*11	0.02 	0 	0 	0 	0.08 	0 	x 	x 	No
*13	0.1 	0.2 	0.14 	0 	0.08 	0.1 	x 	x 	No
*14	0.18 	0 	0 	0.89 	0 	0 	x 	x 	Decreased
*15	0.06 	0 	0 	0 	0.23 	0 	x 	x 	No
*17	5.25 	0.2 	0.86 	0 	19.29 	0 	x 	x 	Decreased
*21	0.1 	0 	0 	0.5 	0 	0 	x 	x 	No
*22	0.06 	0.3 	0 	0 	0 	0 	x 	x 	Uncertain
*27	0.12 	0 	0.14 	0 	0.38 	0 	 	 	Normal
*28	0.12 	0.5 	0.14 	0 	0 	0 	x 	x 	Uncertain
*29	2.64 	0 	0.29 	0 	9.83 	0 	x 	x 	Decreased
*31	0.12 	0.2 	0.58 	0 	0 	0 	x 	x 	No
*32	0.08 	0.3 	0.14 	0 	0 	0 	 	 	Uncertain
*33	0.18 	0.6 	0.29 	0 	0 	0.1 	x 	x 	Normal
*34	0.02 	0 	0 	0 	0.08 	0 	 	 	Normal
*35	1.48 	4.67 	2.59 	0 	0.23 	0.61 	x 	x 	Normal
*36	0.26 	0 	0 	0.2 	0.83 	0 	 	 	No
*39	0.08 	0 	0.14 	0 	0.08 	0.2 	 	x 	Normal
*40	0.24 	0 	0 	0 	0.91 	0 	x 	x 	No
*41	6.07 	8.75 	5.91 	3.77 	1.59 	11.86 	x 	x 	Decreased
*43	0.5 	0.1 	0 	0 	1.06 	1.02 	x 	x 	Uncertain
*45	0.88 	0 	0.29 	0 	3.18 	0 	x 	x 	Normal
*46	0.16 	0 	0.14 	0 	0.53 	0 	x 	x 	Normal
*49	0.1 	0 	0 	0.5 	0 	0 	x 	 	Decreased
*52	0.02 	0 	0 	0.1 	0 	0 	x 	x 	Uncertain
*56	0.02 	0 	0 	0 	0.08 	0 	x 	x 	No
*59	0.06 	0.2 	0.14 	0 	0 	0 	x 	x 	Decreased
*68	0.04 	0 	0 	0 	0.08 	0.1 	 	 	No
*71	0.12 	0 	0 	0.6 	0 	0 	x 	x 	Uncertain
*82	0.06 	0 	0.43 	0 	0 	0 	x 	x 	Unknown
*83	0.02 	0 	0 	0 	0 	0.1 	 	x 	Uncertain
*84	0.02 	0 	0 	0 	0.08 	0 	 	 	Uncertain
*86	0.44 	0 	0 	0 	0 	2.25 	 	 	Unknown
*99	0.04 	0 	0 	0 	0 	0.2 	x 	x 	No
*106	0.32 	0 	0.14 	0 	1.13 	0 	x 	x 	Uncertain
*108	0.06 	0.3 	0 	0 	0 	0 	 	x 	Unknown
*111	0.16 	0 	0 	0 	0 	0.82 	x 	x 	Unknown
*112	0.04 	0 	0 	0 	0 	0.2 	x 	x 	Unknown
*113	0.16 	0 	0 	0 	0 	0.82 	x 	x 	Unknown
*117	0.08 	0.4 	0 	0 	0 	0 	 	 	Unknown
*121	0.02 	0 	0 	0 	0.08 	0 	 	 	Unknown
*125	0.1 	0 	0 	0 	0.38 	0 	 	 	Unknown
*139	0.02 	0 	0 	0 	0.08 	0 	 	 	Unknown
*1x2	0.54 	0.5 	1.44 	0.1 	0.45 	0.51 	x 	x 	Increased
*1x3	0.02 	0 	0 	0 	0.08 	0 	 	 	Increased
*2x2	1.14 	1.49 	0.58 	0.6 	2.12 	0.41 	x 	x 	Increased
*2x3	0.04 	0.1 	0 	0 	0.08 	0 	 	 	Increased
*4x2	0.88 	0.3 	0.14 	0 	3.03 	0 	x 	x 	No
*4x3	0.04 	0 	0 	0 	0.15 	0 	 	 	No
*9x2	0.02 	0.1 	0 	0 	0 	0 	 	 	Normal
*10x2	0.06 	0 	0 	0.3 	0 	0 	x 	x 	Decreased
*17x2	0.02 	0 	0 	0 	0.08 	0 	 	x 	Normal
*29x2	0.1 	0 	0 	0 	0.38 	0 	 	 	Normal
*35x2	0.02 	0 	0.14 	0 	0 	0 	 	 	Increased
*43x2	0.04 	0 	0.14 	0 	0.08 	0 	 	 	Unknown
*45x3	0.02 	0 	0 	0 	0.08 	0 	 	 	Increased
*36+*10	7.15 	0 	0.14 	34.13 	0.08 	1.23 	x 	x 	Decreased
*36+*36	0.04 	0 	0 	0.2 	0 	0 	 	 	No
*68+*4	1.94 	5.57 	2.45 	0 	0.23 	2.15 	x 	x 	No
*68+*68+*4	0.08 	0.1 	0.43 	0 	0 	0 	 	 	No
*36+*36+*10	0.36 	0 	0 	1.79 	0 	0 	x 	x 	Decreased
*36+*36+*36+*10	0.02 	0 	0 	0.1 	0 	0 	x 	x 	Decreased
*13+*2	0.1 	0.2 	0.43 	0 	0 	0 	x 	x 	Normal
*4.013+*4	0.14 	0.7 	0 	0 	0 	0 	 	x 	No
*1+*90	0.02 	0 	0 	0.1 	0 	0 	x 	x 	Uncertain
*36+*36+*83+*10	0.02 	0 	0 	0.1 	0 	0 	 	 	Uncertain
Unknown	1.92 	0.6 	2.31 	3.57 	1.97 	1.23 	 	 	 
% Haplotypes overlapping the validation set	96.1 	97.4 	96.5 	95.9 	95.1 	96.1			

